role_id,string_tag,member_name,group_name,birthday,member_group_array,global_elo,image_url
1051926448589512864,CSR,,CSR,1900-01-01 00:00:00.000000,{csr},1200,
779816698965655583,Dahyun [RcPc],Dahyun,RcPc,2005-04-29 00:00:00.000000,"{dahyun,rcpc}",1200,
779824927611682836,Dahyun [TWICE],Dahyun,TWICE,1998-05-28 00:00:00.000000,"{dahyun,twice}",1200,
809565815476060211,Dami [Dreamcatcher],Dami,Dreamcatcher,1997-03-07 00:00:00.000000,"{dami,dreamcatcher}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/20240223%20Dreamcatcher%20Offenbach%20concert%2043%20Dami.jpg
1000865551020740629,Danielle [NewJeans],Danielle,NewJeans,2005-04-11 00:00:00.000000,"{danielle,newjeans}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/Danielle%20Marsh%20at%20a%20YSL%20Beauty%20event%202024%20D.png
825604064720977931,Dawon [WJSN],Dawon,WJSN,1997-03-16 00:00:00.000000,"{dawon,wjsn}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/Cosmic%20Girls%20Nam%20Da-won%20at%20KCON%2017%20LA%20P1030285%20%2836810271345%29.jpg
906300209565417542,Dayeon [Kep1er],Dayeon,Kep1er,2003-03-02 00:00:00.000000,"{dayeon,kep1er}",1200,
780147579391836160,Dayoung [WJSN],Dayoung,WJSN,1999-05-14 00:00:00.000000,"{dayoung,wjsn}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/170921%20%EC%9D%B8%EC%B2%9C%EA%B3%B5%ED%95%AD%20%EC%B6%9C%EA%B5%AD%20%EC%9A%B0%EC%A3%BC%EC%86%8C%EB%85%80%20%EB%8B%A4%EC%98%81%20%EC%A7%81%EC%B0%8D%20%284%29.jpg
1003189261857738843,Dosie [Purple Kiss],Dosie,Purple Kiss,2000-02-11 00:00:00.000000,"{dosie,purple,kiss}",1200,
779873422503051264,Dreamnote,,Dreamnote,1900-01-01 00:00:00.000000,{dreamnote},1200,
779818840074092614,EU [EVERGLOW],EU,EVERGLOW,1998-05-19 00:00:00.000000,"{eu,everglow}",1200,
779826915627761686,Eunbi [IZONE],Eunbi,IZONE,1995-09-27 00:00:00.000000,"{eunbi,izone}",1200,
961353302921068614,Eunchae [LE SSERAFIM],Eunchae,LE SSERAFIM,2006-11-10 00:00:00.000000,"{eunchae,le,sserafim}",1200,
779834000327180319,Eunha [VIVIZ],Eunha,VIVIZ,1997-05-30 00:00:00.000000,"{eunha,viviz}",1200,
779844835061923901,Eunseo [WJSN],Eunseo,WJSN,1998-05-27 00:00:00.000000,"{eunseo,wjsn}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/170115%20%EA%B0%95%EB%82%A8%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C%20%EC%9A%B0%EC%A3%BC%EC%86%8C%EB%85%80%20%EC%9D%80%EC%84%9C%20%EC%84%B1%EC%86%8C%20%EC%97%AC%EB%A6%84%20%285%29.jpg
779844261683789845,Exy [WJSN],Exy,WJSN,1995-11-06 00:00:00.000000,"{exy,wjsn}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/160821%20%EC%9A%B0%EC%A3%BC%EC%86%8C%EB%85%80%20%EC%98%81%EB%93%B1%ED%8F%AC%20%ED%8C%AC%EC%8B%B8%EC%9D%B8%ED%9A%8C%20%EC%97%91%EC%8B%9C%20%284%29.jpg
916036962694090792,Gaeul [IVE],Gaeul,IVE,2002-09-24 00:00:00.000000,"{gaeul,ive}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/Ive%20Gaeul%20at%20Seoul%20Fashion%20Week%2C%201%20September%202025%2003%20%28cropped%29.png
779849462499508254,Gahyeon [Dreamcatcher],Gahyeon,Dreamcatcher,1999-02-03 00:00:00.000000,"{gahyeon,dreamcatcher}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/20240223%20Dreamcatcher%20Offenbach%20concert%2012%20Gahyeon.jpg
779818212233576510,Giselle [Aespa],Giselle,Aespa,2000-10-30 00:00:00.000000,"{giselle,aespa}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/250111%20aespa%20Giselle%2002%20%28cropped%29.jpg
779828668125020180,Gowon [Loossemble],Gowon,Loossemble,2000-11-19 00:00:00.000000,"{gowon,loossemble}",1200,
779847395076341800,Gyuri [fromis_9],Gyuri,fromis_9,1997-12-27 00:00:00.000000,"{gyuri,fromis9}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/Jang%20Gyu-ri%20in%20November%202024.png
1000867359914991718,H1-KEY,,H1-KEY,1900-01-01 00:00:00.000000,{h1key},1200,
1000866108028493954,Haerin [NewJeans],Haerin,NewJeans,2006-05-15 00:00:00.000000,"{haerin,newjeans}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/20230905%20Haerin%20%28NewJeans%29.jpg
945905738285469757,Haewon [NMIXX],Haewon,NMIXX,2003-02-25 00:00:00.000000,"{haewon,nmixx}",1200,
779874187908743178,Handong [Dreamcatcher],Handong,Dreamcatcher,1996-03-26 00:00:00.000000,"{handong,dreamcatcher}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/20240223%20Dreamcatcher%20Offenbach%20concert%2047%20Handong.jpg
1000863360776147054,Hanni [NewJeans],Hanni,NewJeans,2004-10-06 00:00:00.000000,"{hanni,newjeans}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/Hanni%20OLENS%202.jpg
779827239729496076,Haseul [ARTMS],Haseul,ARTMS,1997-08-18 00:00:00.000000,"{haseul,artms}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/2017.01.21%20%EC%9A%A9%EC%82%B0%20%EC%9D%B4%EB%8B%AC%EC%9D%98%EC%86%8C%EB%85%80%20%ED%8C%AC%20%EC%82%AC%EC%9D%B8%ED%9A%8C%20%ED%95%98%EC%8A%AC%20by%20%EC%97%94%ED%83%80%EB%A1%9C%20%281%29.jpg
779847039017943101,Hayoung [fromis_9],Hayoung,fromis_9,1997-09-29 00:00:00.000000,"{hayoung,fromis9}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/190611%20%EC%86%A1%ED%95%98%EC%98%81.jpg
779826601905881088,Heejin [ARTMS],Heejin,ARTMS,2000-10-19 00:00:00.000000,"{heejin,artms}",1200,http://commons.wikimedia.org/wiki/Special:FilePath/20231109%20HeeJin%20%40%20MusicBank.png
906301530481762324,Hikaru [Kep1er],Hikaru,Kep1er,2004-03-12 00:00:00.000000,"{hikaru,kep1er}",1200,
